iter	Passed	Remaining
891	21883	2649
892	21907	2624
893	21930	2600
894	21956	2575
895	21986	2551
896	22017	2528
897	22050	2504
898	22080	2480
899	22109	2456
900	22145	2433
901	22182	2410
902	22207	2385
903	22233	2361
904	22259	2336
905	22284	2312
906	22307	2287
907	22330	2262
908	22352	2237
909	22376	2213
910	22403	2188
911	22430	2164
912	22465	2140
913	22494	2116
914	22524	2092
915	22555	2068
916	22584	2044
917	22616	2020
918	22642	1995
919	22673	1971
920	22701	1947
921	22727	1922
922	22759	1898
923	22788	1874
924	22813	1849
925	22837	1825
926	22861	1800
927	22884	1775
928	22908	1750
929	22933	1726
930	22956	1701
931	22980	1676
932	23005	1652
933	23031	1627
934	23060	1603
935	23088	1578
936	23120	1554
937	23146	1529
938	23169	1505
939	23192	1480
940	23217	1455
941	23242	1431
942	23268	1406
943	23291	1381
944	23315	1356
945	23337	1332
946	23360	1307
947	23386	1282
948	23410	1258
949	23431	1233
950	23450	1208
951	23475	1183
952	23502	1159
953	23526	1134
954	23549	1109
955	23568	1084
956	23587	1059
957	23607	1035
958	23628	1010
959	23649	985
960	23673	960
961	23695	935
962	23714	911
963	23735	886
964	23754	861
965	23772	836
966	23791	811
967	23810	787
968	23830	762
969	23850	737
970	23869	712
971	23888	688
972	23907	663
973	23926	638
974	23946	614
975	23965	589
976	23984	564
977	24004	539
978	24025	515
979	24045	490
980	24068	466
981	24086	441
982	24099	416
983	24121	392
984	24140	367
985	24161	343
986	24180	318
987	24200	293
988	24218	269
989	24236	244
990	24254	220
991	24275	195
992	24294	171
993	24313	146
994	24331	122
995	24350	97
996	24369	73
997	24389	48
998	24409	24
999	24427	0
