iter	Accuracy	Logloss
263	0.9102132435	0.2653855194
264	0.9102132435	0.2646434834
265	0.9102132435	0.2644867044
266	0.9102132435	0.2640899815
267	0.9102132435	0.2637628396
268	0.911335578	0.2632654557
269	0.9124579125	0.2630717568
270	0.911335578	0.2619554949
271	0.9135802469	0.2612701023
272	0.9135802469	0.2611661494
273	0.9135802469	0.2610616322
274	0.9135802469	0.2607502418
275	0.9147025814	0.2605225228
276	0.9135802469	0.2601797742
277	0.9135802469	0.2601224095
278	0.9135802469	0.2598891854
279	0.9135802469	0.2597937483
280	0.9135802469	0.2596059177
281	0.9147025814	0.2593576309
282	0.9169472503	0.2587585184
283	0.9191919192	0.2580826917
284	0.9180695847	0.2573892467
285	0.9180695847	0.2573626639
286	0.9180695847	0.2566470066
287	0.9191919192	0.2562939862
288	0.9203142536	0.255868022
289	0.9214365881	0.2553515068
290	0.9191919192	0.2541101417
291	0.9203142536	0.2532862592
292	0.9203142536	0.2528400533
293	0.9203142536	0.2525502623
294	0.9203142536	0.2522907529
295	0.923681257	0.2518488584
296	0.923681257	0.2517043582
297	0.923681257	0.2511490618
298	0.923681257	0.2505606629
299	0.923681257	0.2504567325
300	0.923681257	0.2499627633
301	0.923681257	0.2498810593
302	0.923681257	0.2493851406
303	0.923681257	0.2486805324
304	0.923681257	0.2485746647
305	0.9248035915	0.2484374344
306	0.9248035915	0.2481950148
307	0.9259259259	0.2479366525
308	0.9259259259	0.2474036702
309	0.9259259259	0.2471308613
310	0.9259259259	0.2464458003
311	0.9259259259	0.2460260734
312	0.9248035915	0.2459946636
313	0.9248035915	0.2456307782
314	0.9248035915	0.245094408
315	0.9270482604	0.2445520919
316	0.9270482604	0.2437686067
317	0.9259259259	0.2434146748
318	0.9259259259	0.2433827297
319	0.9259259259	0.2433490553
320	0.9259259259	0.2433278154
321	0.9259259259	0.2432053807
322	0.9281705948	0.2428941555
323	0.9270482604	0.2427151505
324	0.9270482604	0.2425931315
325	0.9281705948	0.2421365024
326	0.9281705948	0.2421259785
327	0.9281705948	0.2420584675
328	0.9292929293	0.2417512648
329	0.9292929293	0.241336963
330	0.9304152637	0.240626206
331	0.9304152637	0.2403838863
332	0.9304152637	0.2403072076
333	0.9304152637	0.239822602
334	0.9304152637	0.2396994698
335	0.9292929293	0.2395397563
336	0.9292929293	0.2393375171
337	0.9304152637	0.2389389306
338	0.9304152637	0.2386463849
339	0.9304152637	0.2378238617
340	0.9304152637	0.2374913938
341	0.9304152637	0.237363358
342	0.9292929293	0.2365060835
343	0.9292929293	0.2363743788
344	0.9292929293	0.2359969467
345	0.9292929293	0.2357774081
346	0.9292929293	0.2356960309
347	0.9304152637	0.2352158383
348	0.9315375982	0.2348477944
349	0.9315375982	0.2346669322
350	0.9326599327	0.2342663343
351	0.9326599327	0.2340437709
352	0.9337822671	0.2336140498
353	0.9337822671	0.2333918131
354	0.9337822671	0.2333603778
355	0.9326599327	0.2329684764
356	0.9315375982	0.2327924572
357	0.9315375982	0.2327479247
358	0.9315375982	0.2323645263
359	0.9292929293	0.2319514671
360	0.9292929293	0.2316273698
361	0.9292929293	0.2313982275
362	0.9304152637	0.2309472203
363	0.9315375982	0.2304551473
364	0.9315375982	0.2299037765
365	0.9315375982	0.2294877888
366	0.9315375982	0.2292724265
367	0.9326599327	0.2282929785
368	0.9315375982	0.2278171734
369	0.9315375982	0.2272682362
370	0.9315375982	0.227173904
371	0.9326599327	0.2267179706
372	0.9326599327	0.226369199
373	0.9337822671	0.2263091859
374	0.9337822671	0.2261610457
375	0.9337822671	0.2260367247
376	0.936026936	0.2254208488
377	0.936026936	0.2252331877
378	0.936026936	0.225217257
379	0.936026936	0.2249661367
380	0.936026936	0.2245604504
381	0.936026936	0.22395753
382	0.936026936	0.2234107594
383	0.936026936	0.2232122508
384	0.936026936	0.2230737541
385	0.936026936	0.2227867016
386	0.936026936	0.2224548616
387	0.9371492705	0.222127371
388	0.9382716049	0.2217665525
389	0.9371492705	0.2210666101
390	0.9371492705	0.2209071797
391	0.9382716049	0.2203792538
392	0.9382716049	0.2201777995
393	0.9382716049	0.2199984556
394	0.9382716049	0.2199788375
395	0.9382716049	0.2198676177
396	0.9382716049	0.2198276666
397	0.9382716049	0.2194684345
398	0.9382716049	0.2186617273
399	0.9393939394	0.2182784346
400	0.9393939394	0.2182629831
401	0.9393939394	0.2181364857
402	0.9393939394	0.2179146079
403	0.9393939394	0.217840213
404	0.9393939394	0.2176976058
405	0.9393939394	0.2173655606
406	0.9393939394	0.2169075558
407	0.9393939394	0.2162122617
408	0.9405162738	0.2153506945
409	0.9405162738	0.2148603871
410	0.9393939394	0.214639988
411	0.9405162738	0.2145109252
412	0.9416386083	0.2141028129
413	0.9416386083	0.214077166
414	0.9416386083	0.2138131814
415	0.9416386083	0.2137570927
416	0.9416386083	0.2135950624
417	0.9416386083	0.2134860357
418	0.9416386083	0.2128022037
419	0.9416386083	0.2125883148
420	0.9416386083	0.2121654357
421	0.9405162738	0.2116230507
422	0.9405162738	0.2112730317
423	0.9405162738	0.2109501566
424	0.9416386083	0.2107079141
425	0.9416386083	0.2104834715
426	0.9416386083	0.2103086533
427	0.9416386083	0.2097642383
428	0.9427609428	0.2096958918
429	0.9427609428	0.2090996787
430	0.9427609428	0.2088787145
431	0.9427609428	0.2084282022
432	0.9438832772	0.2079601255
433	0.9438832772	0.2077849593
434	0.9438832772	0.2076505969
435	0.9438832772	0.2076407998
436	0.9438832772	0.2075751073
437	0.9450056117	0.2072521419
438	0.9450056117	0.2070717903
439	0.9438832772	0.2066871259
440	0.9438832772	0.2066268802
441	0.9438832772	0.2062929153
442	0.9438832772	0.2061957096
443	0.9438832772	0.20617997
444	0.9450056117	0.206006502
445	0.9450056117	0.2058909983
446	0.9450056117	0.2053540242
447	0.9450056117	0.2048780869
448	0.9450056117	0.2043168645
449	0.9450056117	0.2039819469
450	0.9450056117	0.2038819157
451	0.9450056117	0.2036276958
452	0.9450056117	0.2035862018
453	0.9450056117	0.2031531495
454	0.9450056117	0.2028596499
455	0.9450056117	0.2025944059
456	0.9450056117	0.2024194758
457	0.9450056117	0.2022762971
458	0.9450056117	0.2022438166
459	0.9450056117	0.2019889406
460	0.9450056117	0.2018330672
461	0.9450056117	0.2017685081
462	0.9450056117	0.2015269446
463	0.9450056117	0.200861546
464	0.9450056117	0.2006812767
465	0.9450056117	0.2002089031
466	0.9450056117	0.2001214717
467	0.9450056117	0.1999381929
468	0.9450056117	0.1998710693
469	0.9450056117	0.1994237722
470	0.9450056117	0.1993576951
471	0.9450056117	0.1988761036
472	0.9461279461	0.1986774842
473	0.9472502806	0.1983249682
474	0.9461279461	0.197819404
475	0.9461279461	0.1974724099
476	0.9472502806	0.1971010218
477	0.9472502806	0.196824991
478	0.9461279461	0.196191795
479	0.9461279461	0.1959115421
480	0.9461279461	0.1958962048
481	0.9461279461	0.1957556485
482	0.9461279461	0.1954905975
483	0.9461279461	0.1954396975
484	0.9461279461	0.1950924905
485	0.9461279461	0.1950715334
486	0.9461279461	0.1950602139
487	0.9461279461	0.1950104271
488	0.9461279461	0.1947767324
489	0.9461279461	0.1944616895
490	0.9461279461	0.1943473338
491	0.9461279461	0.1941332643
492	0.9461279461	0.1938659249
493	0.9461279461	0.1936376168
494	0.9461279461	0.1936329002
495	0.9461279461	0.1932849916
496	0.9461279461	0.1929319133
497	0.9472502806	0.1925802176
498	0.9472502806	0.192569633
499	0.9472502806	0.1920273249
500	0.9472502806	0.1919171021
501	0.9472502806	0.191725763
502	0.9472502806	0.1915132852
503	0.9472502806	0.1913078721
504	0.9472502806	0.1910998867
505	0.9472502806	0.190889568
506	0.9472502806	0.1908638658
507	0.9472502806	0.1903033808
508	0.9472502806	0.1902543906
509	0.9472502806	0.1901160042
510	0.9472502806	0.1901107527
511	0.948372615	0.1898649174
512	0.9494949495	0.1894348066
513	0.9494949495	0.1893516452
514	0.9494949495	0.1890374716
515	0.9494949495	0.1890303838
516	0.9494949495	0.188617958
517	0.9494949495	0.1885065715
518	0.9494949495	0.1884211892
519	0.950617284	0.1879889659
520	0.950617284	0.187906516
521	0.950617284	0.1876523664
522	0.950617284	0.1873585955
523	0.950617284	0.1865935169
524	0.950617284	0.1864011535
525	0.950617284	0.1860089696
526	0.950617284	0.1856479264
527	0.950617284	0.1851740696
528	0.950617284	0.1847478211
529	0.950617284	0.1845747444
530	0.9494949495	0.1844590623
531	0.950617284	0.1844288834
532	0.950617284	0.1842909471
533	0.9517396184	0.184021141
534	0.9517396184	0.183951713
535	0.9517396184	0.1834864512
536	0.9517396184	0.1833935505
537	0.9517396184	0.1833148367
538	0.9517396184	0.1830126674
539	0.9517396184	0.1828641772
540	0.9517396184	0.1825850311
541	0.9517396184	0.1823265442
542	0.9517396184	0.1822125103
543	0.9517396184	0.1821962776
544	0.9517396184	0.1820505627
545	0.9517396184	0.1817330801
546	0.9517396184	0.18168425
547	0.9517396184	0.1816332928
548	0.9517396184	0.1815194874
549	0.9517396184	0.1813001335
550	0.9517396184	0.180599905
551	0.9517396184	0.1802984135
552	0.9517396184	0.1801256613
553	0.9517396184	0.1799536553
554	0.9517396184	0.1798620924
555	0.9517396184	0.1795958695
556	0.9517396184	0.1795893555
557	0.9517396184	0.1792793446
558	0.9517396184	0.1792300202
559	0.9517396184	0.178761738
560	0.9517396184	0.1785895286
561	0.9517396184	0.1783221925
562	0.9517396184	0.1777984019
563	0.9517396184	0.1777509238
564	0.9517396184	0.1776083354
565	0.9517396184	0.1775171903
566	0.9517396184	0.1771945684
567	0.9517396184	0.1771558913
568	0.9517396184	0.1769910418
569	0.9517396184	0.1767533429
570	0.9517396184	0.1766578746
571	0.950617284	0.1763119617
572	0.950617284	0.1762479329
573	0.950617284	0.1761902623
574	0.950617284	0.1760742934
575	0.950617284	0.1757952723
576	0.950617284	0.1756142363
577	0.950617284	0.1754426344
578	0.950617284	0.1753294985
579	0.950617284	0.1752996886
580	0.950617284	0.1752473584
581	0.950617284	0.1751107221
582	0.9517396184	0.1750138161
583	0.9517396184	0.174893579
584	0.9517396184	0.1744264393
585	0.9517396184	0.173996105
586	0.9517396184	0.1739734077
587	0.9517396184	0.1739419861
588	0.9517396184	0.1734665072
589	0.9517396184	0.1731692604
590	0.9517396184	0.1728509733
591	0.9528619529	0.1727017084
592	0.9528619529	0.1726953913
593	0.9528619529	0.1724085767
594	0.9528619529	0.1722261444
595	0.9517396184	0.171767495
596	0.9517396184	0.1714448634
597	0.9517396184	0.1713445134
598	0.9517396184	0.1709017406
599	0.9517396184	0.1706165605
600	0.9517396184	0.1705147809
601	0.9517396184	0.1702726307
602	0.9517396184	0.1702343361
603	0.9517396184	0.1697968659
604	0.9517396184	0.1696350751
605	0.9528619529	0.1694938329
606	0.9528619529	0.1694614565
607	0.9528619529	0.169213615
608	0.9528619529	0.1690761338
609	0.9539842873	0.1688146392
610	0.9539842873	0.1684508861
611	0.9539842873	0.1683948258
612	0.9539842873	0.1683885639
613	0.9551066218	0.1680632603
614	0.9551066218	0.1677582337
615	0.9573512907	0.1671729869
616	0.9573512907	0.1669459428
617	0.9562289562	0.166859219
618	0.9562289562	0.1667348976
619	0.9562289562	0.1667284552
620	0.9562289562	0.1667095151
621	0.9573512907	0.1664443602
622	0.9573512907	0.1663508597
623	0.9573512907	0.1663032281
624	0.9573512907	0.1661729833
625	0.9573512907	0.166074337
626	0.9573512907	0.1657971611
627	0.9584736251	0.1652990145
628	0.9584736251	0.1652590586
629	0.9584736251	0.1649400743
630	0.9595959596	0.1645656525
631	0.9595959596	0.164496819
632	0.9595959596	0.1644139666
633	0.9595959596	0.1642678448
634	0.9584736251	0.1640961364
635	0.9584736251	0.163610806
636	0.9584736251	0.1634436117
637	0.9584736251	0.1633680913
638	0.9584736251	0.1633235166
639	0.9584736251	0.1629108532
640	0.9584736251	0.1626748218
641	0.9584736251	0.162667615
642	0.9584736251	0.1625382727
643	0.9584736251	0.1623854859
644	0.9584736251	0.1623363194
645	0.9584736251	0.162304108
646	0.9584736251	0.1622343702
647	0.9584736251	0.1618248638
648	0.9584736251	0.161682788
649	0.9584736251	0.1615329676
650	0.9584736251	0.1613017289
651	0.9584736251	0.1612339113
652	0.9595959596	0.1610417951
653	0.9595959596	0.1609919514
654	0.9595959596	0.1605190553
655	0.9595959596	0.1602240542
656	0.9595959596	0.1601915255
657	0.9595959596	0.1600728413
658	0.9595959596	0.1600581492
659	0.9595959596	0.1598397719
660	0.9595959596	0.1597690025
661	0.9595959596	0.1597507036
662	0.9595959596	0.159666749
663	0.9584736251	0.1594307597
664	0.9584736251	0.1592028066
665	0.9584736251	0.1591412254
666	0.9584736251	0.1588952171
667	0.9584736251	0.1588403795
668	0.9584736251	0.1588014252
669	0.9584736251	0.1585429631
670	0.9595959596	0.1582053066
671	0.9595959596	0.1578795857
672	0.9595959596	0.1576931057
673	0.9595959596	0.1576608454
674	0.9595959596	0.1575217905
675	0.9595959596	0.1574103405
676	0.9595959596	0.1574024173
677	0.9595959596	0.1573801491
678	0.9595959596	0.1573721129
679	0.9595959596	0.1573309919
680	0.9595959596	0.1571674474
681	0.9595959596	0.1571580827
682	0.9595959596	0.1571482685
683	0.9595959596	0.1569825672
684	0.9607182941	0.1566693722
685	0.9607182941	0.1566553214
686	0.9607182941	0.1562645678
687	0.9607182941	0.1562601372
688	0.9595959596	0.1560248489
689	0.9595959596	0.1559709231
690	0.9595959596	0.1557008806
691	0.9595959596	0.1556137597
692	0.9595959596	0.1554249234
693	0.9595959596	0.1550798702
694	0.9607182941	0.1548734313
695	0.9607182941	0.1546961308
696	0.9607182941	0.1546829356
697	0.9618406285	0.1543169178
698	0.9618406285	0.1541321556
699	0.9618406285	0.1539228849
700	0.9618406285	0.1538815619
701	0.9618406285	0.1536250997
702	0.9618406285	0.1532114079
703	0.9618406285	0.153170959
704	0.9618406285	0.1530191058
705	0.9618406285	0.1529266453
706	0.9618406285	0.1528915573
707	0.9618406285	0.1526076036
708	0.9618406285	0.1525088214
709	0.9618406285	0.1523479371
710	0.9618406285	0.1520984139
711	0.9618406285	0.1517229069
712	0.9618406285	0.1515202498
713	0.9618406285	0.1513287043
714	0.9618406285	0.1512608565
715	0.9618406285	0.1510743445
716	0.9618406285	0.1510565838
717	0.9618406285	0.1509885876
718	0.9607182941	0.1507412224
719	0.9618406285	0.1503528246
720	0.9618406285	0.1503095823
721	0.9640852974	0.1497233713
722	0.962962963	0.1495521542
723	0.9640852974	0.149359595
724	0.9640852974	0.149246758
725	0.9640852974	0.148984954
726	0.9640852974	0.1486700633
727	0.9652076319	0.1483231673
728	0.9652076319	0.1482935533
729	0.9652076319	0.1480810552
730	0.9652076319	0.1480697318
731	0.9652076319	0.1478554783
732	0.9652076319	0.1477639181
733	0.9652076319	0.1475636406
734	0.9652076319	0.1474389125
735	0.9652076319	0.1472062369
736	0.9652076319	0.1468528783
737	0.9652076319	0.1465796647
738	0.9652076319	0.1463022754
739	0.9652076319	0.146065764
740	0.9652076319	0.1460254601
741	0.9652076319	0.1454928694
742	0.9652076319	0.145253232
743	0.9652076319	0.1451433539
744	0.9674523008	0.1450716943
745	0.9674523008	0.14498831
746	0.9674523008	0.1449510608
747	0.9674523008	0.1448602159
748	0.9674523008	0.1448346829
749	0.9674523008	0.1448018568
750	0.9674523008	0.1445721562
751	0.9674523008	0.1444256225
752	0.9674523008	0.1443638906
753	0.9674523008	0.1442141648
754	0.9674523008	0.143919934
755	0.9674523008	0.143743485
756	0.9674523008	0.1436406381
757	0.9674523008	0.1433405176
758	0.9674523008	0.1429437734
759	0.9674523008	0.1429424691
760	0.9674523008	0.1427667055
761	0.9674523008	0.1427615859
762	0.9674523008	0.1425267222
763	0.9674523008	0.1422374628
764	0.9674523008	0.1422093293
765	0.9674523008	0.1420393086
766	0.9685746352	0.1420103865
767	0.9674523008	0.1418184129
768	0.9685746352	0.1415109034
769	0.9685746352	0.1414883587
770	0.9685746352	0.1414461548
771	0.9685746352	0.1412682929
772	0.9685746352	0.1412343743
773	0.9685746352	0.1409588802
774	0.9685746352	0.1406814883
775	0.9685746352	0.1405576965
776	0.9685746352	0.1405374669
777	0.9685746352	0.1404771366
778	0.9685746352	0.1404532171
779	0.9685746352	0.1404106606
780	0.9685746352	0.140343425
781	0.9685746352	0.1402839784
782	0.9685746352	0.140236837
783	0.9685746352	0.1401341684
784	0.9685746352	0.1398506039
785	0.9685746352	0.1397967574
786	0.9685746352	0.1396816148
787	0.9685746352	0.1396083427
788	0.9685746352	0.1394835408
789	0.9685746352	0.1394018024
790	0.9685746352	0.1393784842
791	0.9685746352	0.1391760235
792	0.9685746352	0.1390018372
793	0.9685746352	0.1387989612
794	0.9685746352	0.1386562507
795	0.9685746352	0.1384525143
796	0.9685746352	0.1382805864
797	0.9685746352	0.1382784564
798	0.9685746352	0.138091674
799	0.9685746352	0.1380825544
800	0.9685746352	0.1379774896
801	0.9685746352	0.1378629875
802	0.9696969697	0.1377153558
803	0.9696969697	0.1376237375
804	0.9696969697	0.1375629057
805	0.9696969697	0.1373215611
806	0.9696969697	0.1372538251
807	0.9696969697	0.1371883405
808	0.9696969697	0.1369070597
809	0.9696969697	0.1366932885
810	0.9696969697	0.1366661228
811	0.9696969697	0.1365390349
812	0.9696969697	0.1363418796
813	0.9696969697	0.1363167273
814	0.9696969697	0.1361829829
815	0.9696969697	0.1359324547
816	0.9696969697	0.135744443
817	0.9696969697	0.1357143468
818	0.9696969697	0.1356673955
819	0.9708193042	0.1354375287
820	0.9708193042	0.1349248431
821	0.9708193042	0.1348754
822	0.9708193042	0.1348353486
823	0.9708193042	0.1348330652
824	0.9708193042	0.1348274974
825	0.9708193042	0.1346612441
826	0.9708193042	0.1344580385
827	0.9708193042	0.1344244112
828	0.9708193042	0.1343265086
829	0.9708193042	0.1342692932
830	0.9708193042	0.134145829
831	0.9708193042	0.1339225636
832	0.9708193042	0.1335535348
833	0.9708193042	0.1333585299
834	0.9708193042	0.1333523938
835	0.9708193042	0.1333265246
836	0.9719416386	0.1331062197
837	0.9719416386	0.1330353149
838	0.9719416386	0.1327869904
839	0.9719416386	0.1325597113
840	0.9719416386	0.1325498393
841	0.9719416386	0.1325439406
842	0.9719416386	0.1324467605
843	0.9719416386	0.1323138878
844	0.9719416386	0.1322530569
845	0.9719416386	0.1318694333
846	0.9719416386	0.1314063861
847	0.9719416386	0.1313941806
848	0.9719416386	0.1312139021
849	0.9730639731	0.1309450734
850	0.9730639731	0.1306408006
851	0.9730639731	0.1304359178
852	0.9730639731	0.1302780697
853	0.9730639731	0.1302291306
854	0.9730639731	0.129981821
855	0.9730639731	0.1297980352
856	0.9741863075	0.1295845404
857	0.9741863075	0.1295628229
858	0.9741863075	0.1294615185
859	0.9741863075	0.1292668194
860	0.9741863075	0.129132137
861	0.9741863075	0.1289624102
862	0.9741863075	0.1288613125
863	0.9741863075	0.1286473565
864	0.9741863075	0.1285862957
865	0.9741863075	0.1285567604
866	0.9741863075	0.1284263755
867	0.9741863075	0.1284230254
868	0.9741863075	0.1283752817
869	0.9741863075	0.128124444
870	0.9741863075	0.1278738347
871	0.9741863075	0.1277467746
872	0.9741863075	0.1276522371
873	0.9741863075	0.1274789347
874	0.9741863075	0.1273989673
875	0.9741863075	0.1273686974
876	0.9741863075	0.1272475687
877	0.9741863075	0.127117677
878	0.9730639731	0.1269426048
879	0.9730639731	0.1269066303
880	0.9730639731	0.1268560873
881	0.9730639731	0.1267705425
